aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,matchedRoadAddress,complexNo,downloadDate,complexName,pyeongName,pyeongName2,max_floor,floor_type,dealDate,dealDateClass,pyeongName3
 ,광교더리브,41117-287,1013,0000,2013, , , ,"94,000",16,11,2020, , ,84.92,4,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2020-11-16,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"116,500",28,12,2020, , ,84.81,26,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2020-12-28,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"98,700",31,12,2020, , ,74.78,13,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2020-12-31,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"98,700",31,12,2020, , ,74.78,13,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2020-12-31,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"94,300",19,12,2020, , ,74.78,17,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2020-12-19,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"94,300",19,12,2020, , ,74.78,17,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2020-12-19,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"108,800",17,12,2020, , ,84.92,13,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2020-12-17,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"110,000",22,12,2020, , ,84.81,20,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2020-12-22,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"98,000",17,12,2020, , ,84.81,9,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2020-12-17,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"99,900",4,12,2020, , ,74.78,12,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2020-12-04,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"99,900",4,12,2020, , ,74.78,12,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2020-12-04,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"109,800",23,12,2020, , ,74.78,8,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2020-12-23,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"109,800",23,12,2020, , ,74.78,8,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2020-12-23,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"85,000",1,12,2020, , ,84.81,15,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2020-12-01,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"88,000",15,12,2020, , ,74.78,8,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2020-12-15,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"88,000",15,12,2020, , ,74.78,8,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2020-12-15,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"107,000",10,12,2020, , ,84.81,6,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2020-12-10,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"98,000",3,12,2020, , ,84.81,23,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2020-12-03,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"108,000",5,12,2020, , ,84.92,20,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2020-12-05,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"89,000",7,12,2020, , ,84.92,3,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2020-12-07,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"96,500",5,12,2020, , ,84.81,13,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2020-12-05,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"102,000",29,1,2021, , ,74.78,2,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2021-01-29,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"102,000",29,1,2021, , ,74.78,2,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2021-01-29,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"109,800",30,1,2021, , ,84.92,5,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-01-30,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"113,000",30,1,2021, , ,84.92,10,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-01-30,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"116,000",16,1,2021, , ,84.92,27,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-01-16,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"105,000",31,1,2021, , ,84.81,4,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-01-31,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"107,000",19,1,2021, , ,84.81,18,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-01-19,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"88,700",26,1,2021, , ,74.78,11,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2021-01-26,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"88,700",26,1,2021, , ,74.78,11,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2021-01-26,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"100,000",5,1,2021, , ,74.78,17,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2021-01-05,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"100,000",5,1,2021, , ,74.78,17,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2021-01-05,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"107,000",6,1,2021, , ,74.78,24,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2021-01-06,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"107,000",6,1,2021, , ,74.78,24,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2021-01-06,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"117,700",15,1,2021, , ,84.81,24,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-01-15,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"105,000",6,1,2021, , ,74.78,14,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2021-01-06,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"105,000",6,1,2021, , ,74.78,14,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2021-01-06,5,30
 ,광교더리브,41117-287,1013,0000,2013, ,21.02.01,O,"100,000",5,1,2021, , ,74.78,17,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2021-01-05,5,30
 ,광교더리브,41117-287,1013,0000,2013, ,21.02.01,O,"100,000",5,1,2021, , ,74.78,17,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2021-01-05,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"117,500",24,2,2021, , ,84.92,27,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-02-24,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"101,800",17,2,2021, , ,84.81,2,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-02-17,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"95,000",27,2,2021, , ,84.92,7,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-02-27,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"105,000",15,2,2021, , ,84.81,6,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-02-15,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"119,700",18,2,2021, , ,84.92,10,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-02-18,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"95,000",25,2,2021, , ,74.78,23,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2021-02-25,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"95,000",25,2,2021, , ,74.78,23,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2021-02-25,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"112,000",3,2,2021, , ,84.81,17,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-02-03,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"121,000",16,2,2021, , ,84.92,15,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-02-16,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"100,000",20,2,2021, , ,84.81,14,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-02-20,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"112,500",10,2,2021, , ,84.81,19,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-02-10,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"88,000",15,2,2021, , ,74.78,13,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2021-02-15,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"88,000",15,2,2021, , ,74.78,13,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2021-02-15,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"93,500",4,2,2021, , ,74.78,10,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2021-02-04,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"93,500",4,2,2021, , ,74.78,10,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2021-02-04,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"108,000",27,3,2021, , ,84.92,1,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-03-27,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"123,000",21,3,2021, , ,84.81,26,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-03-21,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"122,000",18,3,2021, , ,84.92,21,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-03-18,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"120,000",9,3,2021, , ,84.81,24,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-03-09,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"119,000",22,3,2021, , ,84.81,22,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-03-22,5,34
 ,광교더리브,41117-287,1013,0000,2013, ,21.04.07,O,"100,000",24,3,2021, , ,84.92,12,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-03-24,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"64,500",9,3,2021, , ,84.92,17,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-03-09,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"108,000",5,3,2021, , ,84.81,1,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-03-05,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"114,000",2,3,2021, , ,84.81,22,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-03-02,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"113,000",2,3,2021, , ,84.81,3,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-03-02,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"114,500",30,4,2021, , ,84.81,25,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-04-30,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"117,500",20,4,2021, , ,84.92,20,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-04-20,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"101,700",17,4,2021, , ,74.78,20,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2021-04-17,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"101,700",17,4,2021, , ,74.78,20,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2021-04-17,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"106,000",25,4,2021, , ,84.81,4,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-04-25,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"117,000",10,4,2021, , ,84.92,15,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112D,34D,,,2021-04-10,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"102,000",17,4,2021, , ,74.78,4,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2021-04-17,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"102,000",17,4,2021, , ,74.78,4,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2021-04-17,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"100,000",9,4,2021, , ,84.81,1,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-04-09,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"114,000",2,4,2021, , ,84.81,12,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-04-02,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"87,000",12,4,2021, , ,84.81,22,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-04-12,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"107,000",5,4,2021, , ,84.81,5,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,112E,34E,,,2021-04-05,5,34
 ,광교더리브,41117-287,1013,0000,2013, , , ,"103,000",3,4,2021, , ,74.78,4,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99A,30A,,,2021-04-03,5,30
 ,광교더리브,41117-287,1013,0000,2013, , , ,"103,000",3,4,2021, , ,74.78,4,1013,1,N, ,센트럴파크로,00034,00000,3177032,02,41117,0,41117, ,10400,하동,센트럴파크로 34,136913,2025-03-02 21:59,광교더리브,99B,30B,,,2021-04-03,5,30
